name,parent,weight
drugs,,
Analgesics,drugs,
Anesthetics,drugs,
Anti-Addiction/Substance Abuse Treatment Agents,drugs,
Antibacterials,drugs,
Anticonvulsants,drugs,
Antidementia Agents,drugs,
Antidepressants,drugs,
Antiemetics,drugs,
Anti-inflammatory Agents,drugs,
Antimigraine Agents,drugs,
Antimyasthenic Agents,drugs,
Antimycobacterials,drugs,
Antineoplastics,drugs,
Antiparasitics,drugs,
Antiparkinson Agents,drugs,
Antipsychotics,drugs,
Antivirals,drugs,
Anxiolytics,drugs,
Bipolar Agents,drugs,
Blood Glucose Regulators,drugs,
Blood Products/Modifiers/Volume Expanders,drugs,
Cardiovascular Agents,drugs,
Central Nervous System Agents,drugs,
Gastrointestinal Agents,drugs,
Genitourinary Agents,drugs,
Hormonal Agents,drugs,
Hormonal Agents - Suppressant (Thyroid),drugs,
Immunological Agents,drugs,
Inflammatory Bowel Disease Agents,drugs,
Ophthalmic Agents,drugs,
Respiratory Tract/Pulmonary Agents,drugs,
Sleep Disorder Agents,drugs,
Therapeutic Nutrients/Minerals/Electrolytes,drugs,
Nonsteroidal Anti-inflammatory Drugs,Analgesics,
Opioid Analgesics,Analgesics,
Short-acting Opioid Analgesics,Analgesics,
Local Anesthetics,Anesthetics,
Alcohol Deterrents/Anti-craving,Anti-Addiction/Substance Abuse Treatment Agents,
Opioid Dependence Treatments,Anti-Addiction/Substance Abuse Treatment Agents,
Opioid Reversal Agents,Anti-Addiction/Substance Abuse Treatment Agents,
Smoking Cessation Agents,Anti-Addiction/Substance Abuse Treatment Agents,
Aminoglycosides,Antibacterials,
Beta-lactam Cephalosporins,Antibacterials,
Beta-lactam Penicillins,Antibacterials,
Beta-lactam Other,Antibacterials,
Macrolides,Antibacterials,
Quinolones,Antibacterials,
Sulfonamides,Antibacterials,
Tetracyclines,Antibacterials,
Calcium Channel Modifying Agents,Anticonvulsants,
Gamma-aminobutyric Acid (GABA) Augmenting Agents,Anticonvulsants,
Glutamate Reducing Agents,Anticonvulsants,
Sodium Channel Agents,Anticonvulsants,
Anticonvulsants Other,Anticonvulsants,
Cholinesterase Inhibitors,Antidementia Agents,
N-methyl-D-aspartate (NMDA) Receptor Antagonist,Antidementia Agents,
Antidementia Agents Other,Antidementia Agents,
Monoamine Oxidase Inhibitors,Antidepressants,
SSRIs/SNRIs,Antidepressants,
Tricyclics,Antidepressants,
Antidepressants Other,Antidepressants,
Emetogenic Therapy Adjuncts,Antiemetics,
Antiemetics Other,Antiemetics,
Ergot Alkaloids,Antimigraine Agents,
Serotonin (5-HT) 1b/1d Receptor Agonists,Antimigraine Agents,
Prophylactic,Antimigraine Agents,
Parasympathomimetics,Antimyasthenic Agents,
Antituberculars,Antimycobacterials,
