name,parent,weight
wikis,,
abwiki,wikis,
acewiki,wikis,
adywiki,wikis,
afwiki,wikis,
akwiki,wikis,
alswiki,wikis,
amwiki,wikis,
anwiki,wikis,
arwiki,wikis,
arywiki,wikis,
arzwiki,wikis,
astwiki,wikis,
aswiki,wikis,
avkwiki,wikis,
aywiki,wikis,
azbwiki,wikis,
azwiki,wikis,
banwiki,wikis,
barwiki,wikis,
bat_smgwiki,wikis,
bawiki,wikis,
bclwiki,wikis,
be_x_oldwiki,wikis,
bewiki,wikis,
bgwiki,wikis,
bhwiki,wikis,
bjnwiki,wikis,
bmwiki,wikis,
bnwiki,wikis,
bpywiki,wikis,
brwiki,wikis,
bswiki,wikis,
bxrwiki,wikis,
cawiki,wikis,
cdowiki,wikis,
cebwiki,wikis,
cewiki,wikis,
chwiki,wikis,
ckbwiki,wikis,
cowiki,wikis,
crhwiki,wikis,
csbwiki,wikis,
cswiki,wikis,
cvwiki,wikis,
cywiki,wikis,
dawiki,wikis,
dewiki,wikis,
diqwiki,wikis,
dsbwiki,wikis,
dvwiki,wikis,
eewiki,wikis,
elwiki,wikis,
emlwiki,wikis,
enwiki,wikis,
eowiki,wikis,
eswiki,wikis,
etwiki,wikis,
euwiki,wikis,
fawiki,wikis,
fiu_vrowiki,wikis,
fiwiki,wikis,
fowiki,wikis,
frpwiki,wikis,
frrwiki,wikis,
frwiki,wikis,
furwiki,wikis,
fywiki,wikis,
gagwiki,wikis,
gawiki,wikis,
gdwiki,wikis,
glwiki,wikis,
gnwiki,wikis,
gorwiki,wikis,
guwiki,wikis,
gvwiki,wikis,
hawiki,wikis,
hawwiki,wikis,
hewiki,wikis,
hiwiki,wikis,
hrwiki,wikis,
hsbwiki,wikis,
htwiki,wikis,
huwiki,wikis,
hywiki,wikis,
hywwiki,wikis,
iawiki,wikis,
idwiki,wikis,
iewiki,wikis,
igwiki,wikis,
ilowiki,wikis,
inhwiki,wikis,
iowiki,wikis,
iswiki,wikis,
itwiki,wikis,
iuwiki,wikis,
jawiki,wikis,
jbowiki,wikis,
jvwiki,wikis,
kaawiki,wikis,
kabwiki,wikis,
kawiki,wikis,
kkwiki,wikis,
kmwiki,wikis,
knwiki,wikis,
koiwiki,wikis,
kowiki,wikis,
kswiki,wikis,
kuwiki,wikis,
kwwiki,wikis,
kywiki,wikis,
ladwiki,wikis,
lawiki,wikis,
lbwiki,wikis,
lezwiki,wikis,
lfnwiki,wikis,
lgwiki,wikis,
lijwiki,wikis,
liwiki,wikis,
lldwiki,wikis,
lmowiki,wikis,
lnwiki,wikis,
lowiki,wikis,
ltwiki,wikis,
lvwiki,wikis,
maiwiki,wikis,
map_bmswiki,wikis,
mgwiki,wikis,
mhrwiki,wikis,
minwiki,wikis,
miwiki,wikis,
mkwiki,wikis,
mlwiki,wikis,
mnwiki,wikis,
mnwwiki,wikis,
mrjwiki,wikis,
mrwiki,wikis,
mswiki,wikis,
mtwiki,wikis,
myvwiki,wikis,
mywiki,wikis,
mznwiki,wikis,
napwiki,wikis,
nawiki,wikis,
nds_nlwiki,wikis,
ndswiki,wikis,
newiki,wikis,
newwiki,wikis,
nlwiki,wikis,
nnwiki,wikis,
nowiki,wikis,
nqowiki,wikis,
nvwiki,wikis,
ocwiki,wikis,
olowiki,wikis,
orwiki,wikis,
oswiki,wikis,
pamwiki,wikis,
papwiki,wikis,
pawiki,wikis,
pcdwiki,wikis,
pihwiki,wikis,
plwiki,wikis,
pmswiki,wikis,
pnbwiki,wikis,
pswiki,wikis,
ptwiki,wikis,
quwiki,wikis,
rmywiki,wikis,
roa_rupwiki,wikis,
rowiki,wikis,
ruewiki,wikis,
ruwiki,wikis,
rwwiki,wikis,
sahwiki,wikis,
satwiki,wikis,
sawiki,wikis,
scnwiki,wikis,
scowiki,wikis,
scwiki,wikis,
sewiki,wikis,
shwiki,wikis,
simplewiki,wikis,
siwiki,wikis,
skwiki,wikis,
slwiki,wikis,
snwiki,wikis,
sowiki,wikis,
sqwiki,wikis,
srwiki,wikis,
suwiki,wikis,
svwiki,wikis,
swwiki,wikis,
szlwiki,wikis,
szywiki,wikis,
tawiki,wikis,
tcywiki,wikis,
tetwiki,wikis,
tewiki,wikis,
tgwiki,wikis,
thwiki,wikis,
tiwiki,wikis,
tkwiki,wikis,
tlwiki,wikis,
trwiki,wikis,
ttwiki,wikis,
twwiki,wikis,
tyvwiki,wikis,
udmwiki,wikis,
ugwiki,wikis,
ukwiki,wikis,
urwiki,wikis,
uzwiki,wikis,
vecwiki,wikis,
vepwiki,wikis,
vewiki,wikis,
viwiki,wikis,
vlswiki,wikis,
vowiki,wikis,
warwiki,wikis,
wawiki,wikis,
wuuwiki,wikis,
xalwiki,wikis,
xmfwiki,wikis,
yiwiki,wikis,
yowiki,wikis,
zh_classicalwiki,wikis,
zh_min_nanwiki,wikis,
zh_yuewiki,wikis,
zhwiki,wikis,
zuwiki,wikis,
CzechRepublic,abwiki,10
Georgia,abwiki,1
Israel,abwiki,1
Greece,acewiki,1
Indonesia,acewiki,1
Malaysia,acewiki,1
Sweden,adywiki,1
Australia,afwiki,1
Bangladesh,afwiki,1
France,afwiki,1
Germany,afwiki,10
Germany,afwiki,1
Greece,afwiki,1
Hungary,afwiki,1
India,afwiki,1
Italy,afwiki,1
Namibia,afwiki,1
Netherlands,afwiki,10
Netherlands,afwiki,1
Panama,afwiki,1
SouthAfrica,afwiki,10
SouthAfrica,afwiki,1
Spain,afwiki,1
UnitedKingdom,afwiki,1
UnitedStates,afwiki,1
Ghana,akwiki,1
Australia,alswiki,1
France,alswiki,1
Germany,alswiki,10
Germany,alswiki,1
Greece,alswiki,1
Indonesia,alswiki,1
Netherlands,alswiki,1
Switzerland,alswiki,1
Canada,amwiki,1
India,amwiki,1
Philippines,amwiki,1
UnitedStates,amwiki,1
Germany,anwiki,10
Germany,anwiki,1
Greece,anwiki,10
Lithuania,anwiki,1
PuertoRico,anwiki,1
Spain,anwiki,10
Spain,anwiki,1
UnitedKingdom,anwiki,1
Algeria,arwiki,10
Algeria,arwiki,1
Argentina,arwiki,1
Austria,arwiki,10
Austria,arwiki,1
Bangladesh,arwiki,10
Bangladesh,arwiki,1
Belgium,arwiki,1
BosniaandHerzegovina,arwiki,1
Brazil,arwiki,1
Bulgaria,arwiki,1
Cambodia,arwiki,1
Cameroon,arwiki,10
Canada,arwiki,10
Canada,arwiki,1
Chad,arwiki,1
Colombia,arwiki,1
Denmark,arwiki,10
Denmark,arwiki,1
Finland,arwiki,1
France,arwiki,10
France,arwiki,1
Germany,arwiki,10
Germany,arwiki,1
Greece,arwiki,10
HongKong,arwiki,1
Hungary,arwiki,1
India,arwiki,1
Indonesia,arwiki,1
Ireland,arwiki,1
Israel,arwiki,10
Israel,arwiki,1
Italy,arwiki,1
Japan,arwiki,1
Jordan,arwiki,10
Jordan,arwiki,1
Kuwait,arwiki,10
Kuwait,arwiki,1
Lebanon,arwiki,10
Lebanon,arwiki,1
Mauritania,arwiki,10
Mauritania,arwiki,1
Moldova,arwiki,1
Morocco,arwiki,10
Morocco,arwiki,1
Netherlands,arwiki,10
Netherlands,arwiki,1
Norway,arwiki,10
Norway,arwiki,1
Oman,arwiki,10
Oman,arwiki,1
Palestine,arwiki,10
Palestine,arwiki,1
Philippines,arwiki,1
Poland,arwiki,1
Qatar,arwiki,10
Qatar,arwiki,1
Spain,arwiki,1
Sweden,arwiki,10
Sweden,arwiki,1
Switzerland,arwiki,1
Tunisia,arwiki,10
Tunisia,arwiki,1
Ukraine,arwiki,1
UnitedKingdom,arwiki,10
UnitedKingdom,arwiki,1
UnitedStates,arwiki,10
UnitedStates,arwiki,1
Algeria,arywiki,10
Bangladesh,arywiki,1
France,arywiki,1
Germany,arywiki,10
Morocco,arywiki,10
Morocco,arywiki,1
Sweden,arywiki,10
Bangladesh,arzwiki,1
Finland,arzwiki,1
Greece,arzwiki,1
India,arzwiki,1
Jordan,arzwiki,1
UnitedKingdom,arzwiki,10
UnitedKingdom,arzwiki,1
Australia,astwiki,1
Colombia,astwiki,1
Estonia,astwiki,1
France,astwiki,1
Germany,astwiki,1
Greece,astwiki,1
Mexico,astwiki,1
Spain,astwiki,10
Spain,astwiki,1
Switzerland,astwiki,1
UnitedKingdom,astwiki,1
UnitedStates,astwiki,1
Bangladesh,aswiki,10
Bangladesh,aswiki,1
Canada,aswiki,1
Greece,aswiki,1
India,aswiki,10
India,aswiki,1
Italy,aswiki,1
Taiwan,aswiki,1
UnitedKingdom,aswiki,1
UnitedStates,aswiki,10
UnitedStates,aswiki,1
Colombia,avkwiki,10
CostaRica,avkwiki,1
Cyprus,avkwiki,1
France,avkwiki,10
Greece,avkwiki,10
Italy,avkwiki,10
Latvia,avkwiki,1
Lithuania,avkwiki,10
Switzerland,avkwiki,1
Ukraine,avkwiki,1
UnitedKingdom,avkwiki,1
Georgia,aywiki,1
Ukraine,aywiki,1
Bangladesh,azbwiki,1
Germany,azbwiki,1
Greece,azbwiki,1
India,azbwiki,1
Morocco,azbwiki,1
Netherlands,azbwiki,1
Panama,azbwiki,1
Tunisia,azbwiki,1
Ukraine,azbwiki,1
UnitedKingdom,azbwiki,1
UnitedStates,azbwiki,1
Austria,azwiki,10
Bangladesh,azwiki,1
Canada,azwiki,10
Chile,azwiki,1
France,azwiki,1
Georgia,azwiki,1
Germany,azwiki,1
Greece,azwiki,1
India,azwiki,1
Indonesia,azwiki,10
Lithuania,azwiki,1
Netherlands,azwiki,1
Norway,azwiki,1
Philippines,azwiki,1
Poland,azwiki,1
Romania,azwiki,1
Spain,azwiki,1
Ukraine,azwiki,10
Ukraine,azwiki,1
UnitedKingdom,azwiki,1
UnitedStates,azwiki,1
Australia,banwiki,1
Bangladesh,banwiki,1
Greece,banwiki,1
Indonesia,banwiki,10
Indonesia,banwiki,1
Ireland,banwiki,1
Italy,banwiki,1
Australia,barwiki,1
Austria,barwiki,1
Germany,barwiki,10
Germany,barwiki,1
Greece,barwiki,1
UnitedStates,barwiki,10
Greece,bat_smgwiki,1
Lithuania,bat_smgwiki,1
Germany,bawiki,1
Greece,bawiki,1
Ukraine,bawiki,1
Greece,bclwiki,1
Philippines,bclwiki,10
Philippines,bclwiki,1
Bangladesh,be_x_oldwiki,1
CzechRepublic,be_x_oldwiki,1
Estonia,be_x_oldwiki,1
Finland,be_x_oldwiki,10
France,be_x_oldwiki,1
Germany,be_x_oldwiki,1
Greece,be_x_oldwiki,1
India,be_x_oldwiki,1
Indonesia,be_x_oldwiki,1
Israel,be_x_oldwiki,1
Italy,be_x_oldwiki,1
Lithuania,be_x_oldwiki,1
Netherlands,be_x_oldwiki,10
Poland,be_x_oldwiki,1
Sweden,be_x_oldwiki,1
Ukraine,be_x_oldwiki,1
UnitedKingdom,be_x_oldwiki,1
Bangladesh,bewiki,1
Cyprus,bewiki,1
Finland,bewiki,10
Finland,bewiki,1
France,bewiki,1
Germany,bewiki,1
Greece,bewiki,1
India,bewiki,10
India,bewiki,1
Israel,bewiki,1
Lithuania,bewiki,1
Netherlands,bewiki,10
Poland,bewiki,10
Poland,bewiki,1
Serbia,bewiki,10
Slovakia,bewiki,1
Spain,bewiki,1
Ukraine,bewiki,1
UnitedKingdom,bewiki,1
UnitedStates,bewiki,1
Albania,bgwiki,1
Austria,bgwiki,1
Bangladesh,bgwiki,1
Belgium,bgwiki,1
Bulgaria,bgwiki,10
Bulgaria,bgwiki,1
Canada,bgwiki,1
CzechRepublic,bgwiki,1
Finland,bgwiki,10
France,bgwiki,1
Germany,bgwiki,1
Greece,bgwiki,10
Greece,bgwiki,1
Hungary,bgwiki,1
IsleofMan,bgwiki,1
Italy,bgwiki,10
Italy,bgwiki,1
Lithuania,bgwiki,1
Macedonia,bgwiki,1
Norway,bgwiki,1
Philippines,bgwiki,1
Poland,bgwiki,1
Serbia,bgwiki,1
SouthKorea,bgwiki,1
Spain,bgwiki,1
Switzerland,bgwiki,10
Ukraine,bgwiki,1
UnitedKingdom,bgwiki,1
Bangladesh,bhwiki,1
India,bhwiki,1
Indonesia,bjnwiki,10
Indonesia,bjnwiki,1
Bangladesh,bmwiki,1
Kuwait,bmwiki,1
Malaysia,bmwiki,10
Australia,bnwiki,1
Bangladesh,bnwiki,10
Bangladesh,bnwiki,1
Brazil,bnwiki,1
Canada,bnwiki,1
Colombia,bnwiki,1
France,bnwiki,1
Germany,bnwiki,1
Greece,bnwiki,1
India,bnwiki,10
India,bnwiki,1
Italy,bnwiki,1
Nepal,bnwiki,1
Qatar,bnwiki,1
Ukraine,bnwiki,1
UnitedKingdom,bnwiki,10
UnitedKingdom,bnwiki,1
UnitedStates,bnwiki,1
Bangladesh,bpywiki,1
Greece,bpywiki,1
India,bpywiki,1
UnitedKingdom,bpywiki,1
Bangladesh,brwiki,1
Brazil,brwiki,1
France,brwiki,10
France,brwiki,1
Germany,brwiki,1
Greece,brwiki,1
Indonesia,brwiki,1
UnitedKingdom,brwiki,1
Austria,bswiki,10
Austria,bswiki,1
Bangladesh,bswiki,10
BosniaandHerzegovina,bswiki,10
BosniaandHerzegovina,bswiki,1
Croatia,bswiki,1
France,bswiki,1
Germany,bswiki,1
Greece,bswiki,1
Mexico,bswiki,1
Nigeria,bswiki,10
Serbia,bswiki,1
Slovenia,bswiki,1
Sweden,bswiki,1
Ukraine,bswiki,1
UnitedStates,bswiki,10
UnitedStates,bswiki,1
Greece,bxrwiki,1
Mongolia,bxrwiki,10
Norway,bxrwiki,10
Andorra,cawiki,10
Andorra,cawiki,1
Argentina,cawiki,1
Austria,cawiki,1
Bangladesh,cawiki,1
Belgium,cawiki,1
Brazil,cawiki,1
Ecuador,cawiki,1
France,cawiki,10
France,cawiki,1
Germany,cawiki,1
Greece,cawiki,10
Greece,cawiki,1
India,cawiki,1
Italy,cawiki,1
Japan,cawiki,1
Lithuania,cawiki,1
Macedonia,cawiki,10
Mexico,cawiki,1
Peru,cawiki,1
Poland,cawiki,1
Slovakia,cawiki,1
Spain,cawiki,10
Spain,cawiki,1
Sweden,cawiki,1
Switzerland,cawiki,10
Switzerland,cawiki,1
UnitedKingdom,cawiki,1
UnitedStates,cawiki,1
Uruguay,cawiki,10
Australia,cdowiki,1
UnitedStates,cdowiki,1
Australia,cebwiki,1
Austria,cebwiki,1
Bangladesh,cebwiki,1
Benin,cebwiki,1
Canada,cebwiki,1
France,cebwiki,1
Germany,cebwiki,10
Germany,cebwiki,1
Greece,cebwiki,10
India,cebwiki,10
India,cebwiki,1
Indonesia,cebwiki,1
Japan,cebwiki,1
Malaysia,cebwiki,1
Mexico,cebwiki,1
Morocco,cebwiki,1
Netherlands,cebwiki,1
Philippines,cebwiki,1
Romania,cebwiki,1
SouthAfrica,cebwiki,1
Spain,cebwiki,1
Sweden,cebwiki,1
Taiwan,cebwiki,1
Ukraine,cebwiki,1
UnitedKingdom,cebwiki,1
UnitedStates,cebwiki,10
France,cewiki,1
Georgia,cewiki,1
Greece,cewiki,1
Poland,cewiki,1
Ukraine,cewiki,1
UnitedStates,cewiki,1
Kuwait,chwiki,1
Canada,ckbwiki,1
Germany,ckbwiki,1
Greece,ckbwiki,1
Netherlands,ckbwiki,10
Netherlands,ckbwiki,1
Poland,ckbwiki,10
UnitedKingdom,ckbwiki,1
UnitedStates,ckbwiki,1
France,cowiki,1
Germany,cowiki,1
Italy,cowiki,10
Italy,cowiki,1
Germany,crhwiki,1
Italy,crhwiki,1
Netherlands,crhwiki,1
Ukraine,crhwiki,10
Ukraine,crhwiki,1
Poland,csbwiki,1
UnitedStates,csbwiki,10
Australia,cswiki,1
Austria,cswiki,10
Austria,cswiki,1
Bangladesh,cswiki,1
Belgium,cswiki,1
BosniaandHerzegovina,cswiki,1
Canada,cswiki,1
Croatia,cswiki,1
CzechRepublic,cswiki,10
CzechRepublic,cswiki,1
DominicanRepublic,cswiki,1
Estonia,cswiki,1
France,cswiki,1
Germany,cswiki,10
Germany,cswiki,1
Greece,cswiki,10
Greece,cswiki,1
Indonesia,cswiki,1
Israel,cswiki,1
Italy,cswiki,10
Italy,cswiki,1
Japan,cswiki,1
Lithuania,cswiki,10
Luxembourg,cswiki,1
Mexico,cswiki,1
Netherlands,cswiki,1
NewZealand,cswiki,10
Peru,cswiki,1
Poland,cswiki,10
Poland,cswiki,1
Portugal,cswiki,1
Romania,cswiki,1
Slovakia,cswiki,10
Slovakia,cswiki,1
Slovenia,cswiki,10
Spain,cswiki,1
Switzerland,cswiki,1
Taiwan,cswiki,1
UnitedKingdom,cswiki,10
UnitedKingdom,cswiki,1
UnitedStates,cswiki,1
Australia,cvwiki,1
Greece,cvwiki,1
Israel,cvwiki,10
Italy,cvwiki,1
Netherlands,cvwiki,1
Australia,cywiki,1
France,cywiki,1
Greece,cywiki,1
Netherlands,cywiki,1
Spain,cywiki,1
Tanzania,cywiki,10
Tanzania,cywiki,1
UnitedKingdom,cywiki,10
UnitedKingdom,cywiki,1
UnitedStates,cywiki,1
Australia,dawiki,1
Austria,dawiki,1
Bangladesh,dawiki,1
Belgium,dawiki,1
Brazil,dawiki,1
Canada,dawiki,1
Croatia,dawiki,1
Denmark,dawiki,10
Denmark,dawiki,1
Estonia,dawiki,1
FaroeIslands,dawiki,1
France,dawiki,1
Germany,dawiki,10
Germany,dawiki,1
Greece,dawiki,1
HongKong,dawiki,1
India,dawiki,1
Italy,dawiki,10
Italy,dawiki,1
Japan,dawiki,1
Kosovo,dawiki,1
Lithuania,dawiki,10
Netherlands,dawiki,1
Norway,dawiki,1
Panama,dawiki,1
Slovakia,dawiki,1
Spain,dawiki,1
Sweden,dawiki,1
Ukraine,dawiki,1
UnitedKingdom,dawiki,1
UnitedStates,dawiki,1
Albania,dewiki,1
Argentina,dewiki,1
Australia,dewiki,10
Australia,dewiki,1
Austria,dewiki,10
Austria,dewiki,1
Bangladesh,dewiki,1
Belgium,dewiki,1
Bolivia,dewiki,1
BosniaandHerzegovina,dewiki,1
Brazil,dewiki,1
Bulgaria,dewiki,1
Cambodia,dewiki,1
Canada,dewiki,1
Chile,dewiki,1
Colombia,dewiki,1
Croatia,dewiki,1
CzechRepublic,dewiki,1
Denmark,dewiki,10
Denmark,dewiki,1
DominicanRepublic,dewiki,1
Ecuador,dewiki,1
Estonia,dewiki,1
Finland,dewiki,10
Finland,dewiki,1
France,dewiki,10
France,dewiki,1
Gambia,dewiki,1
Georgia,dewiki,1
Germany,dewiki,10
Germany,dewiki,1
Greece,dewiki,10
Greece,dewiki,1
Guatemala,dewiki,1
Guinea,dewiki,1
HongKong,dewiki,1
Hungary,dewiki,1
Iceland,dewiki,1
India,dewiki,1
Indonesia,dewiki,1
Ireland,dewiki,10
Ireland,dewiki,1
IsleofMan,dewiki,1
Israel,dewiki,10
Israel,dewiki,1
Italy,dewiki,10
Italy,dewiki,1
Japan,dewiki,1
Latvia,dewiki,1
Lithuania,dewiki,10
Lithuania,dewiki,1
Luxembourg,dewiki,1
Macedonia,dewiki,1
Malaysia,dewiki,1
Mexico,dewiki,10
Mexico,dewiki,1
Morocco,dewiki,10
Namibia,dewiki,10
Netherlands,dewiki,10
Netherlands,dewiki,1
NewZealand,dewiki,1
Nigeria,dewiki,1
Norway,dewiki,1
Oman,dewiki,1
Panama,dewiki,1
Paraguay,dewiki,1
Peru,dewiki,1
Philippines,dewiki,1
Poland,dewiki,10
Poland,dewiki,1
Portugal,dewiki,1
Romania,dewiki,1
Serbia,dewiki,1
Slovakia,dewiki,10
Slovakia,dewiki,1
Slovenia,dewiki,1
SouthAfrica,dewiki,1
SouthKorea,dewiki,1
Spain,dewiki,10
Spain,dewiki,1
Sweden,dewiki,10
Sweden,dewiki,1
Switzerland,dewiki,10
Switzerland,dewiki,1
Taiwan,dewiki,1
Tanzania,dewiki,1
Tunisia,dewiki,1
Ukraine,dewiki,1
UnitedKingdom,dewiki,10
UnitedKingdom,dewiki,1
UnitedStates,dewiki,10
UnitedStates,dewiki,1
Uruguay,dewiki,1
Austria,diqwiki,1
Germany,dsbwiki,1
Poland,dsbwiki,1
Sweden,dsbwiki,1
Maldives,dvwiki,1
UnitedKingdom,dvwiki,1
India,eewiki,1
Malaysia,eewiki,10
UnitedKingdom,eewiki,1
Austria,elwiki,10
Belgium,elwiki,10
Canada,elwiki,1
Cyprus,elwiki,10
Cyprus,elwiki,1
France,elwiki,1
Germany,elwiki,10
Germany,elwiki,1
Greece,elwiki,10
Greece,elwiki,1
India,elwiki,1
Italy,elwiki,1
Netherlands,elwiki,1
Norway,elwiki,10
Norway,elwiki,1
Poland,elwiki,1
Slovenia,elwiki,1
SouthAfrica,elwiki,1
Sweden,elwiki,1
Switzerland,elwiki,1
Tanzania,elwiki,10
Ukraine,elwiki,1
UnitedKingdom,elwiki,10
UnitedKingdom,elwiki,1
UnitedStates,elwiki,1
Italy,emlwiki,10
Italy,emlwiki,1
Albania,enwiki,10
Albania,enwiki,1
Algeria,enwiki,10
Algeria,enwiki,1
Andorra,enwiki,1
Angola,enwiki,10
AntiguaandBarbuda,enwiki,1
Argentina,enwiki,10
Argentina,enwiki,1
Armenia,enwiki,10
Armenia,enwiki,1
Aruba,enwiki,1
Australia,enwiki,10
Australia,enwiki,1
Austria,enwiki,10
Austria,enwiki,1
Bahamas,enwiki,1
Bangladesh,enwiki,10
Bangladesh,enwiki,1
Barbados,enwiki,1
Belgium,enwiki,10
Belgium,enwiki,1
Belize,enwiki,1
Benin,enwiki,1
Bermuda,enwiki,1
Bhutan,enwiki,1
Bolivia,enwiki,1
BosniaandHerzegovina,enwiki,10
BosniaandHerzegovina,enwiki,1
Botswana,enwiki,1
Brazil,enwiki,10
Brazil,enwiki,1
BritishVirginIslands,enwiki,1
Brunei,enwiki,10
Brunei,enwiki,1
Bulgaria,enwiki,10
Bulgaria,enwiki,1
Cambodia,enwiki,10
Cambodia,enwiki,1
Cameroon,enwiki,1
Canada,enwiki,10
Canada,enwiki,1
CaribbeanNetherlands,enwiki,1
CaymanIslands,enwiki,1
Chile,enwiki,10
Chile,enwiki,1
Colombia,enwiki,10
Colombia,enwiki,1
Comoros,enwiki,1
CostaRica,enwiki,10
CostaRica,enwiki,1
Croatia,enwiki,10
Croatia,enwiki,1
Curaçao,enwiki,1
Cyprus,enwiki,10
Cyprus,enwiki,1
CzechRepublic,enwiki,10
CzechRepublic,enwiki,1
Côted'Ivoire,enwiki,1
Denmark,enwiki,10
Denmark,enwiki,1
DominicanRepublic,enwiki,10
DominicanRepublic,enwiki,1
Ecuador,enwiki,1
ElSalvador,enwiki,1
Estonia,enwiki,10
Estonia,enwiki,1
FaroeIslands,enwiki,1
Fiji,enwiki,10
Fiji,enwiki,1
Finland,enwiki,10
Finland,enwiki,1
France,enwiki,10
France,enwiki,1
FrenchGuiana,enwiki,1
Gambia,enwiki,1
Georgia,enwiki,10
Georgia,enwiki,1
Germany,enwiki,10
Germany,enwiki,1
Ghana,enwiki,10
Ghana,enwiki,1
Gibraltar,enwiki,1
Greece,enwiki,10
Greece,enwiki,1
Greenland,enwiki,1
Grenada,enwiki,1
Guadeloupe,enwiki,1
Guam,enwiki,1
Guatemala,enwiki,10
Guatemala,enwiki,1
Guernsey,enwiki,1
Guinea,enwiki,1
Guyana,enwiki,1
Haiti,enwiki,1
Honduras,enwiki,10
Honduras,enwiki,1
HongKong,enwiki,10
HongKong,enwiki,1
Hungary,enwiki,10
Hungary,enwiki,1
Iceland,enwiki,10
Iceland,enwiki,1
India,enwiki,10
India,enwiki,1
Indonesia,enwiki,10
Indonesia,enwiki,1
Ireland,enwiki,10
Ireland,enwiki,1
IsleofMan,enwiki,10
IsleofMan,enwiki,1
Israel,enwiki,10
Israel,enwiki,1
Italy,enwiki,10
Italy,enwiki,1
Jamaica,enwiki,10
Jamaica,enwiki,1
Japan,enwiki,10
Japan,enwiki,1
Jersey,enwiki,10
Jersey,enwiki,1
Jordan,enwiki,10
Jordan,enwiki,1
Kenya,enwiki,10
Kenya,enwiki,1
Kosovo,enwiki,10
Kosovo,enwiki,1
Kuwait,enwiki,10
Kuwait,enwiki,1
Kyrgyzstan,enwiki,1
Latvia,enwiki,10
Latvia,enwiki,1
Lebanon,enwiki,10
Lebanon,enwiki,1
Lesotho,enwiki,1
Lithuania,enwiki,10
Lithuania,enwiki,1
Luxembourg,enwiki,10
Luxembourg,enwiki,1
Macao,enwiki,1
Macedonia,enwiki,10
Macedonia,enwiki,1
Malawi,enwiki,10
Malawi,enwiki,1
Malaysia,enwiki,10
Malaysia,enwiki,1
Maldives,enwiki,10
Maldives,enwiki,1
Malta,enwiki,1
Mauritius,enwiki,1
Mexico,enwiki,10
Mexico,enwiki,1
Moldova,enwiki,10
Moldova,enwiki,1
Mongolia,enwiki,10
Mongolia,enwiki,1
Montenegro,enwiki,10
Montenegro,enwiki,1
Morocco,enwiki,10
Morocco,enwiki,1
Mozambique,enwiki,1
Namibia,enwiki,1
Nepal,enwiki,10
Nepal,enwiki,1
Netherlands,enwiki,10
Netherlands,enwiki,1
NewZealand,enwiki,10
NewZealand,enwiki,1
Nicaragua,enwiki,1
Nigeria,enwiki,10
Nigeria,enwiki,1
NorthernMarianaIslands,enwiki,1
Norway,enwiki,10
Norway,enwiki,1
Oman,enwiki,1
Palestine,enwiki,1
Panama,enwiki,10
Panama,enwiki,1
PapuaNewGuinea,enwiki,1
Paraguay,enwiki,10
Paraguay,enwiki,1
Peru,enwiki,10
Peru,enwiki,1
Philippines,enwiki,10
Philippines,enwiki,1
Poland,enwiki,10
Poland,enwiki,1
Portugal,enwiki,10
Portugal,enwiki,1
PuertoRico,enwiki,10
PuertoRico,enwiki,1
Qatar,enwiki,10
Qatar,enwiki,1
RepublicoftheCongo,enwiki,1
Romania,enwiki,10
Romania,enwiki,1
Réunion,enwiki,1
SaintBarthélemy,enwiki,1
